Time;ms+-;Power;Stabw P;Gleichspannung;Gleichrichtwert;Effektivwert;Scheitelfaktor;Amplitude;Abs. MaxA;Stabw Ieff;Stabw Imid;Stabw Iss;THD;Phase;Number;OW0 [%];OW2 [%];OW3 [%];OW4 [%];OW5 [%];OW6 [%];OW7 [%];OW8 [%];OW9 [%];OW10 [%];OW11 [%];OW12 [%];OW13 [%];OW14 [%];Temperature;Conversion;EDRchannel
30;0.00E+00;147.7815812;2.613198;-0.671702133;9.85401935;12.21549943;1.297820383;15.85349467;31.18020215;0.10661515;0.5680014;3.442842533;41.90359373;0.184799883;48.66666667;6.036062583;1.851731967;24.8612316;1.8667888;14.54787078;1.816884567;25.35068983;1.6155078;11.87409935;1.534184017;9.545731383;1.169265483;5.69987915;1.122797783;0.00E+00;0.00E+00;6.041
31;0.00E+00;154.7667274;3.8243483;-0.671792933;10.05809257;12.48962173;1.302978367;16.27592117;32.01143948;0.146571967;0.532406217;3.484974233;40.7923935;0.193530717;49;5.902519633;1.830812767;24.29352367;1.899693917;14.32711182;1.792580217;24.46302815;1.553577867;11.50557202;1.487099433;9.426950917;1.14315035;5.5188232;1.05129475;0.00E+00;0.00E+00;6.041
32;0.00E+00;152.7494181;2.836709833;-0.680823117;9.99126755;12.41795607;1.302405533;16.17321388;31.8643879;0.112983883;0.510752833;3.284946017;41.01006563;0.328363567;48.26666667;5.996507733;1.86921605;24.41979547;1.832844;14.36845738;1.7569045;24.59125608;1.557499733;11.63616985;1.471451033;9.50449985;1.129126217;5.517443683;1.032081883;0.00E+00;0.00E+00;6.041
33;0.00E+00;214.8464651;35.74474898;-0.6688521;11.71958375;14.26116002;1.311576817;18.69199847;36.75061882;0.48727285;1.063460983;6.7321354;37.08696407;0.769793867;48;5.846424583;2.119085083;22.20475102;1.67290835;13.42698082;1.609206933;21.75244168;1.48102845;10.64904542;1.392049783;8.280343933;1.038565267;4.854841283;0.98260605;0.00E+00;0.00E+00;6.041
34;0.00E+00;438.6088579;7.470916517;-0.668908017;18.46135037;20.97024003;1.375231533;28.8394253;45.8119866;0.177545317;0.783170083;4.4177322;22.40876378;1.797090467;48.43333333;3.34206345;2.943509517;14.21334875;0.901715167;9.197501633;1.0138539;11.78890845;1.154806417;6.727085667;1.024586633;3.475387917;0.711064517;2.220522683;0.640284983;0.00E+00;0.00E+00;6.041
35;0.00E+00;449.3172506;6.481352317;-0.667737;18.68670465;21.2265103;1.3760747;29.20933715;45.96836807;0.152954483;0.755558117;4.17790225;22.09567948;1.706810183;48.56666667;3.2982597;3.010881433;14.05551198;0.915979817;8.99939705;1.017556217;11.63752632;1.13893935;6.61876175;1.003846917;3.34317315;0.704401483;2.186409967;0.602476233;0.00E+00;0.00E+00;6.041
36;0.00E+00;437.7323868;7.10927545;-0.668921617;18.43309272;20.94971135;1.375144467;28.80929802;45.68090828;0.169620967;0.761876267;4.261221433;22.40476277;1.874922383;48.51666667;3.3584219;3.050772767;14.2367539;0.908128667;9.185450517;1.02132145;11.82345765;1.140363817;6.666100933;1.00395855;3.324134983;0.7187136;2.210191;0.632731633;0.00E+00;0.00E+00;6.041
37;0.00E+00;419.3019697;7.168724567;-0.668171883;18.01721003;20.50731692;1.373121567;28.15911657;45.08274942;0.174857967;0.77040415;4.142962;22.97599573;1.79323495;48.7;3.4236981;3.126184117;14.5682144;0.93111355;9.348892017;1.0498322;12.19590927;1.170694917;6.868278517;1.047320917;3.414040033;0.759303417;2.247702917;0.669710483;0.00E+00;0.00E+00;6.041
38;0.00E+00;419.295794;7.1013897;-0.66778415;18.01824357;20.5074399;1.373257017;28.16205092;44.90117242;0.173489267;0.749183583;4.00994345;22.89656273;1.798625033;48.56666667;3.43014725;3.13062055;14.52624273;0.95579725;9.2929875;1.048301683;12.18768673;1.14370365;6.842026683;1.033562833;3.329671033;0.728926933;2.23097285;0.612485717;0.00E+00;0.00E+00;6.041
39;0.00E+00;422.1735601;6.774729117;-0.670180417;18.0876744;20.57815573;1.373824233;28.27088712;45.07230328;0.164415483;0.748269483;4.143369633;22.70318575;1.871459367;48.51666667;3.432271633;3.1534355;14.29833318;0.954646433;9.128227;1.05402895;12.23232792;1.153549333;6.8511001;1.01924525;3.228131067;0.714032117;2.224855817;0.619186867;0.00E+00;0.00E+00;6.041
40;0.00E+00;417.2497497;6.563941817;-0.669414517;17.97743;20.45781105;1.373185283;28.09245968;45.02006853;0.16078525;0.7670511;4.323256883;22.9297455;1.8286406;48.48333333;3.437436383;3.138595817;14.47592282;0.9537889;9.314551517;1.0571006;12.26924397;1.1523783;6.86044975;1.03089565;3.33262185;0.735394783;2.244577233;0.651531383;0.00E+00;0.00E+00;6.041
41;0.00E+00;414.3993874;6.859939833;-0.669482083;17.91701115;20.38834858;1.373147533;27.99629883;44.86515755;0.16799115;0.746800483;4.226188867;23.02132202;1.712186717;48.65;3.449600117;3.130313433;14.58643593;0.9757273;9.333077933;1.069047033;12.24201257;1.135745483;6.92253285;1.007617817;3.37885915;0.745469633;2.29688485;0.6394465;0.00E+00;0.00E+00;6.041
42;0.00E+00;424.7089728;9.359437283;-0.666651767;17.96027052;20.49171202;1.369359733;28.11082732;45.03292575;0.231493383;0.666305183;4.4947102;23.48243762;1.65959945;48.51666667;3.544247783;2.721286067;14.79930908;0.998307933;9.380940567;1.08201615;12.69522042;1.152538783;7.068718917;1.020499433;3.533097433;0.715997483;2.416442233;0.6165983;0.00E+00;0.00E+00;6.041
43;0.00E+00;147.6201015;2.586101833;-0.67236795;9.850780533;12.2077668;1.297994183;15.84559138;30.95214905;0.105187233;0.528141517;3.251068967;41.92297222;0.130596933;48.58333333;6.050181483;1.61141575;25.04208323;1.874086717;14.66802198;1.792155967;25.27932635;1.618092767;11.86222253;1.54891585;9.280599683;1.1884935;5.571041033;1.078860217;0.00E+00;0.00E+00;6.041
44;0.00E+00;147.749251;2.51563605;-0.670816533;9.85214675;12.21287525;1.29770205;15.84863917;31.09114235;0.102564283;0.54498635;3.333535717;41.95964908;0.17779095;48.6;6.034147433;1.6147412;24.96918783;1.855116533;14.70245767;1.802167167;25.352769;1.608018583;11.83924575;1.53762455;9.3844511;1.198088167;5.642988517;1.08353055;0.00E+00;0.00E+00;6.041
45;0.00E+00;148.1341238;2.579006233;-0.675254433;9.8629776;12.22989352;1.29767915;15.8704552;31.06942915;0.104850117;0.5256739;3.1835212;41.97154902;0.228774033;48.63333333;6.067178333;1.67567925;24.95343975;1.83993625;14.71387095;1.802220867;25.3164093;1.615828867;11.88054935;1.53056205;9.461154467;1.154272033;5.723939033;1.0375672;0.00E+00;0.00E+00;6.041
46;0.00E+00;148.2258171;2.543460517;-0.677233267;9.86685675;12.23299747;1.29746985;15.87192398;31.06680475;0.102105533;0.519217233;3.18474685;42.02681033;0.2756869;48.6;6.082863183;1.632665917;25.0039852;1.84167695;14.65480287;1.793211;25.33042643;1.600005017;11.96102677;1.527997067;9.490284967;1.1817725;5.803739017;1.069657833;0.00E+00;0.00E+00;6.041
47;0.00E+00;151.2654175;3.542455883;-0.672909217;9.942621033;12.35464928;1.3007933;16.07091998;31.70355913;0.13702605;0.52728655;3.4108457;41.2330754;0.2801814;48.6;5.966469467;1.769895533;24.3964663;1.851541633;14.45949438;1.788634417;24.9186328;1.571213267;11.66480688;1.488087833;9.361931083;1.175145233;5.735501067;1.088811233;0.00E+00;0.00E+00;6.041
48;0.00E+00;150.2824185;2.4479531;-0.6689406;9.910054983;12.31624258;1.30024925;16.01417798;31.53145715;0.099412883;0.505622317;3.036270383;41.44198093;0.37868945;48.56666667;5.9543645;1.873238383;24.43011592;1.82975565;14.46965648;1.794314567;25.06845423;1.568736783;11.86115863;1.48905435;9.467128583;1.12069;5.84580035;1.054519717;0.00E+00;0.00E+00;6.041
49;0.00E+00;149.9383597;2.520427683;-0.686817367;9.902238183;12.30419837;1.300398267;16.00034375;31.426955;0.101082833;0.501551817;3.09350055;41.36785045;0.351383267;48.6;6.11768495;1.777000883;24.4761649;1.8522615;14.48459057;1.803084683;25.00263693;1.5522447;11.76336752;1.484254433;9.394996933;1.164330467;5.70583285;1.039069617;0.00E+00;0.00E+00;6.041
50;0.00E+00;149.7991121;2.622544583;-0.674344417;9.895653417;12.29719398;1.300194283;15.98872292;31.58849333;0.1049097;0.538549233;3.235951067;41.38608853;0.337436617;48.6;6.010359183;1.87674565;24.40186222;1.837885433;14.49469062;1.8105706;24.99644467;1.574945617;11.8331577;1.493894317;9.501599733;1.142597517;5.775339033;1.12340985;0.00E+00;0.00E+00;6.041
51;0.00E+00;149.6407727;2.546431667;-0.6742753;9.891257483;12.29092332;1.300535283;15.98476013;31.43728193;0.102613717;0.515424033;3.064157783;41.35520843;0.375333417;48.63333333;6.012666467;1.895644667;24.50918943;1.84217865;14.5083406;1.803748633;24.93340847;1.57150475;11.7586847;1.492884067;9.3989491;1.129164883;5.67805975;1.086456333;0.00E+00;0.00E+00;6.041
52;0.00E+00;149.57951;2.5474667;-0.675423683;9.883772383;12.28832815;1.300208817;15.97738662;31.3829078;0.1023918;0.503277767;3.0222393;41.4370211;0.3688611;48.65;6.027066183;1.846027667;24.45271975;1.84242405;14.53758597;1.792928333;24.99505047;1.5503761;11.82242013;1.492087533;9.562753167;1.126123933;5.7906738;1.031657317;0.00E+00;0.00E+00;6.041
53;0.00E+00;217.3230024;34.55433737;-0.67321445;11.83240793;14.34092152;1.312816667;18.83521445;36.66324882;0.46203565;1.09251945;6.561645283;36.81218602;0.756142067;48.63333333;5.871372817;2.1378962;22.04150233;1.62131605;13.37666117;1.6134129;21.61341722;1.458982483;10.6043315;1.375126017;8.021367883;1.028107767;4.847191683;0.995804367;0.00E+00;0.00E+00;6.041
54;0.00E+00;427.7112043;6.153540317;-0.682409917;18.22574047;20.70944333;1.3746825;28.46933507;45.35250788;0.14863295;0.747195617;4.083500317;22.6114661;1.723595967;48.56666667;3.445982683;2.937523667;14.27457788;0.92299325;9.326746833;1.007510967;11.91452052;1.094780833;6.831763067;0.977325667;3.545910583;0.692285717;2.30649275;0.643608933;0.00E+00;0.00E+00;6.041
55;0.00E+00;439.7296722;6.173753617;-0.671511817;18.48089203;20.99907118;1.37513345;28.87662537;45.78368293;0.147191967;0.749937983;4.121412283;22.41740092;1.726285817;48.65;3.3536857;2.992931433;14.19334823;0.902317483;9.130946283;0.995257333;11.86766155;1.08849695;6.757600167;0.9870292;3.46140765;0.7004948;2.239870517;0.5958664;0.00E+00;0.00E+00;6.041
56;0.00E+00;438.4305355;7.1263369;-0.674662833;18.1824971;20.74812673;1.370123017;28.4889792;45.15503617;0.1706915;0.67802585;3.83506295;23.4823533;1.595802383;48.53333333;3.531654117;2.487594983;14.79514485;0.937832467;9.303478167;1.042821717;12.77309202;1.159514083;7.038706933;1.055280267;3.695669217;0.714843817;2.35783015;0.6175094;0.00E+00;0.00E+00;6.041
57;0.00E+00;153.2142486;2.72553505;-0.6730236;10.02904607;12.43596042;1.3018924;16.19027455;31.75477087;0.109578383;0.536454383;3.236877417;40.97910593;0.12358195;48.61666667;5.929087383;1.614685483;24.51998933;1.7636535;14.25273978;1.78128995;24.85278678;1.704221083;11.4833647;1.65125885;8.9885567;1.194154967;5.127096367;1.066825733;0.00E+00;0.00E+00;6.041
58;0.00E+00;366.947176;46.478308;-0.671857367;16.17944683;18.84246397;1.343892817;25.38445328;45.34110535;0.666325117;1.369487183;9.423464233;27.52324042;1.25068095;48.66666667;5.00540525;3.127246367;17.0620249;1.2531213;10.54094835;1.275269633;15.1596795;1.28217465;7.992504967;1.187031233;5.026039417;0.86809735;3.005455667;0.77302395;0.00E+00;0.00E+00;6.041
59;0.00E+00;434.8081667;7.122793783;-0.671616317;18.35339453;20.88646382;1.37483345;28.7154865;45.88742257;0.170584283;0.7496052;4.168691383;22.3858921;1.704402833;48.55;3.384744167;3.129701133;14.26481883;0.92569375;9.053029517;1.018888167;11.7517622;0.9996103;6.731560067;0.87064785;3.539317133;0.7187409;2.201811133;0.693960733;0.00E+00;0.00E+00;6.041
60;0.00E+00;446.6651516;9.48462575;-0.6679746;18.60954413;21.16545898;1.375418183;29.11158247;46.5295287;0.2181075;0.800215933;4.562108817;22.22322192;1.684256767;48.66666667;3.323785267;3.1005503;14.0647013;0.9294849;9.043125433;0.99892855;11.75209343;0.974742033;6.6745517;0.852107767;3.490467883;0.72115025;2.18033905;0.731230033;0.00E+00;0.00E+00;6.041
61;0.00E+00;314.3361835;6.894562783;-0.668574667;14.45305163;17.02000495;1.33745465;22.94735297;39.52744693;0.191860117;0.6007149;3.776994917;31.6947266;0.756781317;48.63333333;4.6317877;2.015493017;19.3373542;1.393638183;11.46862857;1.402313583;18.52716273;1.26777735;9.173544533;1.161160933;6.389076883;0.938265717;3.5477625;0.90269395;0.00E+00;0.00E+00;6.041
62;0.00E+00;247.1304498;42.79722752;-0.66700005;12.55137732;15.20733567;1.31412295;19.97115247;38.98792952;0.590791233;1.093102233;8.195512833;35.51525558;0.56264805;48.01666667;5.934195183;2.366280167;21.35314573;1.6508351;12.78082133;1.606039233;20.94435663;1.406600267;10.06908555;1.30349035;7.507737483;1.05234425;4.2330737;0.976604333;0.00E+00;0.00E+00;6.041
63;0.00E+00;450.0172144;6.527408533;-0.669939633;18.70291693;21.24607022;1.376484383;29.24496997;46.32901872;0.153654967;0.7286668;4.153615583;22.0172532;1.922399233;48.95;3.308934;2.941262517;13.9344235;0.944758683;9.085918067;1.005548033;11.54781487;0.959810517;6.662412333;0.8308022;3.441176667;0.695022617;2.199261683;0.709881883;0.00E+00;0.00E+00;6.041
64;0.00E+00;459.5087342;8.75340415;-0.670070533;18.70918777;21.30256237;1.37371585;29.30656528;46.33056645;0.209016217;0.73087615;4.34803535;22.50975867;1.77172675;48.25;3.4096508;2.57714015;14.13037973;0.9554314;9.153438483;1.010241583;12.02622923;0.984677933;6.823112067;0.848846617;3.669555783;0.708308733;2.315996583;0.723162417;0.00E+00;0.00E+00;6.041
65;0.00E+00;154.4496933;2.7459762;-0.670436917;10.03892308;12.48772985;1.303615733;16.27921645;32.14318557;0.109596383;0.489599417;3.245281817;40.72885368;0.107969067;49;5.87479415;1.604537417;24.20496287;1.837353167;14.45743555;1.778149;24.6056756;1.530887483;11.50511635;1.454695267;9.0472356;1.182399467;5.204199317;1.04240075;0.00E+00;0.00E+00;6.041
